"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 11- 30","4,895","4,915","4,945","4,860","30.47K","0.10%"
"2022- 11- 29","4,890","4,895","4,895","4,835","11.27K","-0.10%"
"2022- 11- 28","4,895","4,855","4,910","4,820","11.34K","-0.31%"
"2022- 11- 25","4,910","4,890","4,915","4,795","14.12K","0.92%"
"2022- 11- 24","4,865","4,875","4,875","4,800","11.58K","1.35%"
"2022- 11- 23","4,800","4,720","4,835","4,720","10.20K","0.84%"
"2022- 11- 22","4,760","4,870","4,870","4,760","14.55K","-2.36%"
"2022- 11- 21","4,875","4,915","4,915","4,540","32.11K","-0.81%"
"2022- 11- 18","4,915","4,850","4,985","4,850","21.15K","-0.20%"
"2022- 11- 17","4,925","4,970","4,970","4,870","33.06K","-0.91%"
"2022- 11- 16","4,970","5,030","5,040","4,915","48.99K","-0.50%"
"2022- 11- 15","4,995","4,890","5,060","4,890","0.20K","1.11%"
"2022- 11- 14","4,940","4,910","4,990","4,860","79.22K","-0.70%"
"2022- 11- 11","4,975","5,070","5,290","4,935","211.53K","-0.50%"
"2022- 11- 10","5,000","5,370","5,410","5,000","0.04K","-7.06%"
"2022- 11- 09","5,380","4,375","5,580","4,375","2.34M","23.68%"
"2022- 11- 08","4,350","4,235","4,350","4,235","10.52K","2.84%"
"2022- 11- 07","4,230","4,215","4,325","4,215","14.05K","-1.63%"
"2022- 11- 04","4,300","4,270","4,340","4,240","3.41K","0.23%"
"2022- 11- 03","4,290","4,270","4,305","4,235","8.08K","-0.58%"
"2022- 11- 02","4,315","4,155","4,345","4,155","12.62K","-0.23%"
"2022- 11- 01","4,325","4,275","4,340","4,275","6.29K","1.41%"
"2022- 10- 31","4,265","4,240","4,305","4,225","9.45K","0.59%"
"2022- 10- 28","4,240","4,230","4,275","4,175","9.84K","0.24%"
"2022- 10- 27","4,230","4,080","4,325","4,080","17.26K","1.93%"
"2022- 10- 26","4,150","4,195","4,260","4,065","41.05K","-1.31%"
"2022- 10- 25","4,205","4,260","4,260","4,180","7.58K","-0.71%"
"2022- 10- 24","4,235","4,230","4,300","4,200","8.48K","0.12%"
"2022- 10- 21","4,230","4,205","4,355","4,200","9.62K","-0.35%"
"2022- 10- 20","4,245","4,265","4,270","4,190","12.36K","0.35%"
"2022- 10- 19","4,230","4,390","4,430","4,230","19.78K","-2.53%"
"2022- 10- 18","4,340","4,480","4,490","4,340","23.55K","-1.03%"
"2022- 10- 17","4,385","4,205","4,385","4,190","34.30K","1.04%"
"2022- 10- 14","4,340","4,300","4,435","4,290","13.80K","0.93%"
"2022- 10- 13","4,300","4,460","4,460","4,220","12.91K","-3.59%"
"2022- 10- 12","4,460","4,410","4,500","4,345","11.09K","-0.34%"
"2022- 10- 11","4,475","4,600","4,600","4,335","14.18K","-2.93%"
"2022- 10- 07","4,610","4,635","4,650","4,550","5.46K","0.00%"
"2022- 10- 06","4,610","4,500","4,625","4,500","10.40K","2.33%"
"2022- 10- 05","4,505","4,515","4,520","4,440","11.88K","1.35%"
"2022- 10- 04","4,445","4,340","4,535","4,340","16.35K","1.48%"
"2022- 09- 30","4,380","4,350","4,380","4,245","6.14K","0.46%"
"2022- 09- 29","4,360","4,300","4,430","4,285","18.06K","1.40%"
"2022- 09- 28","4,300","4,585","4,645","4,300","25.20K","-6.01%"
"2022- 09- 27","4,575","4,480","4,725","4,450","27.74K","-2.45%"
"2022- 09- 26","4,690","4,685","4,885","4,605","52.82K","-5.35%"
"2022- 09- 23","4,955","4,955","4,955","4,720","22.80K","0.00%"
"2022- 09- 22","4,955","4,965","5,030","4,880","11.06K","-0.80%"
"2022- 09- 21","4,995","5,030","5,060","4,850","10.93K","-0.70%"
"2022- 09- 20","5,030","4,930","5,130","4,930","14.11K","2.03%"
