날짜,평균기온,최고기온,최저기온,평균운량,일강수량
2021- 01- 01,-5.2,-1.9,-10.2,6.5,0.6
2021- 01- 02,-4.4,-0.5,-8.2,0.4,0.0
2021- 01- 03,-4.0,-0.9,-8.2,3.4,
2021- 01- 04,-2.8,1.9,-8.9,5.3,0.0
2021- 01- 05,-3.4,-0.3,-7.5,2.0,0.1
2021- 01- 06,-5.6,-2.4,-10.4,1.8,1.6
2021- 01- 07,-11.8,-4.0,-14.0,3.5,0.4
2021- 01- 08,-13.2,-9.6,-16.3,1.3,
2021- 01- 09,-11.5,-7.7,-15.9,0.9,
2021- 01- 10,-8.1,-3.2,-14.1,1.3,
2021- 01- 11,-6.4,-3.3,-10.4,6.9,
2021- 01- 12,-2.5,3.4,-7.6,7.0,0.4
2021- 01- 13,3.0,9.6,-4.6,1.9,0.0
2021- 01- 14,3.0,9.0,-1.4,0.0,
2021- 01- 15,5.0,12.4,0.3,8.5,
2021- 01- 16,-2.0,2.5,-5.1,5.6,
2021- 01- 17,-3.7,-0.3,-8.4,3.1,
2021- 01- 18,-2.2,3.7,-5.6,3.3,1.1
2021- 01- 19,-5.3,-0.5,-10.1,0.0,
2021- 01- 20,-1.0,7.0,-7.9,1.4,
2021- 01- 21,4.5,9.3,-0.4,8.8,3.5
2021- 01- 22,6.5,9.0,4.1,10.0,1.0
2021- 01- 23,8.0,12.5,4.8,8.6,
2021- 01- 24,7.3,13.1,2.0,2.0,
2021- 01- 25,8.1,13.5,3.4,6.1,
2021- 01- 26,5.7,8.3,4.4,9.4,3.3
2021- 01- 27,3.3,7.1,0.8,6.4,
2021- 01- 28,-1.8,4.0,-6.9,6.5,0.7
2021- 01- 29,-6.6,-3.1,-9.4,1.6,0.0
2021- 01- 30,0.1,7.8,-8.9,4.1,0.0
2021- 01- 31,4.0,11.7,-4.0,2.8,
2021- 02- 01,6.5,11.1,1.7,8.3,4.2
2021- 02- 02,-3.4,1.7,-5.4,1.3,0.1
2021- 02- 03,-2.3,3.1,-8.0,2.8,0.0
2021- 02- 04,-1.2,1.6,-4.0,1.4,1.5
2021- 02- 05,0.9,7.5,-5.1,4.8,
2021- 02- 06,5.8,10.7,-1.3,7.4,
2021- 02- 07,5.5,10.0,-0.7,3.0,
2021- 02- 08,-1.7,1.3,-3.5,0.0,
2021- 02- 09,0.0,5.7,-5.5,0.0,
2021- 02- 10,2.4,8.1,-3.5,3.9,
2021- 02- 11,5.7,11.1,1.2,7.5,
2021- 02- 12,7.0,14.8,0.6,2.1,
2021- 02- 13,7.7,16.3,-0.3,0.8,
2021- 02- 14,9.5,14.3,5.0,9.4,0.0
2021- 02- 15,2.7,9.6,-2.8,7.9,0.0
